ID,EN,TH
MAP_TITLE,Cartographer,
COLLECTOR_TITLE,Obsession,
STEELSOUL_COMPLETION_TEXT,Achieve 100% game completion and finish the game in Steel Soul mode,
COLOSSEUM_1_TEXT,Complete the Trial of the Warrior,
MR_MUSHROOM_TITLE,Passing of the Age,
MR_MUSHROOM_TEXT,Aid the Herald in moving on,
WATCHER_TEXT,Destroy Lurien the Watcher,
AWAKENING_TITLE,Awakening,
GRUBFRIEND_TEXT,Rescue half of the imprisoned grubs,
TRAITOR_LORD_TEXT,Defeat the Traitor Lord,
SOUL_MASTER_DEFEAT_TITLE,Illumination,
ENDING_A_TEXT,Defeat the Hollow Knight and become the Vessel,
CHARMED_TITLE,Charmed,
VOID_TITLE,Void,
HUNTER_1_TITLE,Keen Hunter,
BEAST_TEXT,Destroy Herrah the Beast,
ENDING_A_TITLE,The Hollow Knight,
DREAM_SOUL_MASTER_DEFEAT_TEXT,Defeat the Soul Tyrant,
MANTIS_LORDS_TITLE,Respect,
WHITE_DEFENDER2_TITLE,Friendship,
STEELSOUL_TEXT,Finish the game in Steel Soul mode,
PANTHEON1_TEXT,Complete the Pantheon of the Master,
VOID_TEXT,Remember the past and unite the Abyss,
SOULFUL_TEXT,Acquire 3 Vessel Fragments,
WORLDSOUL_TEXT,Acquire all Vessel Fragments,
GREY_PRINCE_TITLE,Dark Romance,
STAG_STATION_HALF_TEXT,Open half of Hallownest's Stag Stations,
NIGHTMARE_GRIMM_TITLE,Ritual,
HIDDEN_ACHIEVEMENT_TITLE,Secret,
PANTHEON2_TEXT,Complete the Pantheon of the Artist,
ACH_TITLE_TEST,This is a test achievement title,
COLOSSEUM_2_TEXT,Complete the Trial of the Conqueror,
PANTHEON4_TITLE,Soul & Shade,
METAMORPHOSIS_TEXT,Rescue all of the imprisoned grubs,
DREAM_SOUL_MASTER_DEFEAT_TITLE,Mortality,
NEGLECT_TITLE,Neglect,
BANISHMENT_TITLE,Banishment,
MANTIS_LORDS_TEXT,Defeat the Mantis Lords,
STAG_STATION_ALL_TEXT,Open all of Hallownest's Stag Stations and discover the Stag Nest,
DREAM_FK_TITLE,Strength,
