ID,EN,TH
BELIEVE_TAB_14,"Daniel ""Ithzerian"" Goldberg<br><br>May your heart stay faithful and your will relentless. The sun will shine again. Do not fall prey to despair, and do not be led astray.",
BELIEVE_TAB_01,Carlo Camera<br><br>No time to rest. Push past your best.,
BELIEVE_TAB_32,"Lunerlad<br><br>Wait! Don't leave. I have snacks. Come on, you know you want to join me. Why else would you still be reading this plaque?",
BELIEVE_TAB_55,Void the Dark<br><br>Let your hardships strengthen you on your journey.,
BELIEVE_TAB_29,Kiwan<br><br>Nobody who steals our grubs shall live!,
BELIEVE_TAB_27,"Claw<br><br>A Mantis shunned for his deformed arms. His weapon of choice was a fearsome claw blade. Yet as quickly as he came, he vanished.",
BELIEVE_TAB_46,Stephanie Viglione<br><br>This is a piece of cake.,
BELIEVE_TAB_28,Jonathan Nguyen<br><br>Dream an endless dream of wonder and joy.,
BELIEVE_TAB_33,"Malcolm Treadwell<br><br>Amidst the dark, how will your fire burn? Warm the weary? Guide the aimless? Shelter those without? You can define just how long and bright you burn.",
BELIEVE_TAB_45,Sphiron<br><br>Mistake not the awesome and terrible majesty of the seas of Ire. They are only shallows fringing vast oceans of wrath.,
BELIEVE_TAB_62,"Joel Segura<br><br>It's all about not breaking, when you're already broken.",
BELIEVE_TAB_57,"The Loved Ones of Atra<br><br>Atra, we made it thanks to you. We will always remember you.",
BELIEVE_TAB_40,Protegerre<br><br>Keep going. Never falter. The light is always with you.,
BELIEVE_TAB_37,"Nathan Davis<br><br>Brave one. Do not neglect your nail. If you treat it well, it will never let you down. But remember; a nail has no power unless the one who wields it has courage. Believe in yourself!",
BELIEVE_TAB_56,Joni Kunelius<br><br>Trust in yourself and you will succeed. Trust in people and you will prosper.,
BELIEVE_TAB_61,Michael Clemmer<br><br>Philosopher,
BELIEVE_TAB_63,Ayden Exell<br><br>Let this be a message of inspiration to all. Conquer the world and all within it. Good luck and goodbye!,
BELIEVE_TAB_26,"Jibs Monteef<br><br>Good luck, skeleton!",
BELIEVE_TAB_36,"Miguel A. Garcia Jr.<br><br>Look Alexia, I am here!",
