ID,EN,TH
GG_LOCKED_DESC_GHOST_NOEYES,I lie dreaming in a silent sanctuary,
MEGA_MOSS_MAIN,Moss Charger,
ATRIUM_ENTER_TEXT,"Blasphemy! Rank blasphemy!<br><page>Thou crawler! Thou cringer! Thou smallest of the small!<br><page>By what right dost thou trespass here, in this home of the Gods? Shrivel away and begone! Begone!",
NAME_MANTIS_LORD_V,Sisters of Battle,
NIGHTMARE_GRIMM_GG_3,Scattered lands... Nightmare binds all...,
GG_UNLOCK_INSPECT,Temporary tuning device built of carapace.,
NOTE_VOID_IDOL_1,"""Inspired or mad, those ancient bugs. They devoted their worship to no lord, or power, or strength, but to the very darkness itself.""<br>- Lemm",
INV_DESC_GODFINDER,Device that resonates with beings of great power.<br><br>Glows bright upon defeating mighty foes.,
GG_S_MEGABEAMMINER,Shining god of greed,
ETERNAL_ORDEAL_SUPER,The,
UI_MENUSTYLE_VOIDHEART,Voidheart,
LOADING,Loading...,
GG_UNLOCK_TALK,"....Gods of Our future. Seek thee, We shall... To devote Our all...",
GG_S_GHOST_NOEYES,Dreamborn god of fear and relief,
NAME_SOUL_TYRANT,Soul Tyrant,
UI_MENU_EXTRA_GG_DESC,FREE CONTENT PACK 03<br><br>ORIGINAL RELEASE DATE: August 2018<br><br>DESCRIPTION: Take your place amongst the Gods in an epic celebration of Hallownest's Glory and the final chapter of the Knight's journey.<br><br>New Character and Quest - The Godseeker arrives. Break her chains and aid her in an ancient duty.<br><br>New Boss Fights - Hallownest's greatest warriors raise their blades.<br><br>New Game Mode - Long requested and a classic for the genre. Complete the Godseeker's quest to unlock the new mode.<br><br>New Music - All new soaring boss tracks and giant remixes of beloved classics.,
GODSEEKER_GGMODE_INTRO,"Most holy! Most divine! O God of Gods! Thou return to test thineself upon the lowly, snivelling weaklings serving beneath thee.<br><page>Permit Us then to bow and scrape as bugs impotent before thy glory. We wouldst give Our all to witness again but a moment of thine terrible might!",
ATRIUM_NPC_DREAM_2,Seeker of gods...,
GG_S_ZOTE,Intruder amongst the gods of Hallownest,
GG_S_NOSK,Everchanging god of the faceless,
GODSEEKER_ENGINE_DREAM,"O Gods of Hallownest, show Us your might! We shall attune Ourselves to thee and ascend ever higher!",
HIVEQUEEN_EXTRA,My Knight... At last you are freed.,
ETERNAL_ORDEAL,Eternal Ordeal,
ATRIUM_NPC_DREAM_5,Seek... power...,
PURE_VESSEL_4,Do not...,
NOTE_SAGE_SLY,"""Sagely God of the cunning and bold,<br>Sharpen Our nails and show Us the odds,<br>O greatest of masters, We wish to behold,<br>That one still greater, the God of Gods!""<br>- Prayer to the Sage",
UI_BINDINGS_TITLE,BINDINGS,
GODSEEKER_ENGINE_UNN_REPEAT,"Such magnificent scale, even in decline. If only thee could teach Us to grow so large...",
GG_S_MAGEKNIGHT,Haunted god of the sanctum,
GRIMM_GG_3,"An honour, Seeker, to attend your call!",
GG_S_UMMU,Uncanny god of knowledge,
GG_LOCKED_DESC_GHOST_GORB,I lie dreaming at a wind-blasted peak,
GODSEEKER_ENGINE_REVISIT_GGMODE,"God of Gods, thou stride atop these lesser things as though they were but mortal bugs. Truly, thou are the one We sought. Our tune rings rich with thine brilliance.",
GG_S_SOUL_TYRANT,Frenzied god of mortality,
NAME_PURE_VESSEL,Pure Vessel,
GG_S_GHOST_HU,Dreamborn god of travellers and sages,
GODSEEKER_WATERWAYS_WHITEFLOWER,"An offering? Yes. The Crawler makes an offering to Us. Rare bloom, tiny and pure. No God, though. No godliness. But still...<page>What does Crawler ask for in return? To touch? Our thick, gleaming hide? To see? See the exquisite face beneath Our mask? Such strange prayers!<page>No. No! Crawler presumes too much. The gift is Ours. Kept by Us. But Our mysteries will be preserved.",
UI_MENU_STYLE_HD,Hidden Dreams,
ELDERBUG_FLOWER,Give the Delicate Flower?,
GODSEEKER_WATERWAYS_AWAKE_REPEAT,"Hallownest... Even fading, a glorious land of Gods.<page>Never. Never! The Gods here will never die!",
GODSEEKER_ENGINE_REPEAT,"Creep on, meagre one, and may the Gods utterly destroy thee!",
NAME_MEGA_BEAM_MINER_2,Enraged Guardian,
MARKER_W_NAME,Shining Marker,
INV_DESC_FLOWER_QG,Taken from the Queen's Gardens. It glows faintly with pale light.<br><br>The flower is very fragile and will be destroyed if you take damage or ride the Stagways.,
GG_LOCKED_DESC_MANTISLORDS,We watch over a village of warriors,
GODSEEKER_MAIN,Godseeker,
PAINTMASTER_MAIN,Sheo,
QUEEN_FLOWER,"Ah, what precious gift it offers, though alas I shan't accept.<page>Not of me that flower, nor of this kingdom. Far it travelled to reach this place, brought by one beloved, fair knight of lands serene.<page>There is rare power hidden in those frail petals.<page>To hold it so close, one must surely be unaware of its nature...",
PANTHEON_ENTER_2,"Lowly brute! Blindest of worms! Again thee challenge the Gods? What divine whim has granted thee the strength to endure their presence, where no others may stand?<br><page>Fight then, struggle then, and keenly shall We listen for thy destruction!",
FLUKE_HERMIT_DREAM,Mother's glow... so angry... so angry...,
GG_LOCKED_DESC_GHOST_MARKOTH,I lie dreaming at the edge of the world,
GODSEEKER_COFFIN_NOKEY,A cocoon chained with a simple lock.,
VENGEFLY_SUB,,
HORNET_GG_1,Do you haunt my dreams... Or I yours?,
UI_CHALLENGE_TITLE_MAIN_4,KNIGHT,
UI_CHALLENGE_TITLE_MAIN_5,HALLOWNEST,
FLUKE_HERMIT_PRAY_REPEAT,Gla gla... Mother... <br>Am I... Mother...? Gla gla...,
NOTE_PALE_LURKER,This odd creature is unaffected by and unaware of the disease drifting through the caverns. Its madness is all its own.,
UI_CHALLENGE_TITLE_MAIN_1,MASTER,
UI_CHALLENGE_TITLE_MAIN_2,ARTIST,
UI_CHALLENGE_TITLE_MAIN_3,SAGE,
KNIGHT_STATUE_2,Void given form. ,
GG_S_PAINTMASTER,Talented god of artists and creators,
KNIGHT_STATUE_1,"Not bug, nor beast, nor god.",
SHEO_3,"What is a god, if not an artist?",
GG_LOCKED_DESC_FKNIGHT,I protect the weak in the heart of the crossroads,
MODAL_ENGAGE_CONTROLLER,Press any button to start,
ENDING_D_TITLE,Embrace the Void,
GG_S_COLLECTOR,Joyful god of protection,
UI_MENU_RUMBLE,Rumble,
GG_LOCKED_DESC_WATCHERKNIGHTS,"We lie dormant, guarding the Spire's peak",
GG_LOCKED_DESC_GHOST_XERO,I lie dreaming amongst peaceful graves,
PURE_VESSEL_3,Do not hope...,
PURE_VESSEL_2,Do not speak...,
GG_S_SOULMASTER,Covetous god of soul,
GODSEEKER_ENGINE_PRIME_REVISIT,"Thou return to cross thine nail with this pure vessel. For what purpose, We can only wonder.<page>Does combat draw thee closer together? Dost thou also desire attunement with the Gods? Or dost thou hide some other desire deep within thee?",
CTRL_MARKER_PLACE,Place,
GODSEEKER_ENGINE_3,"Thou art painfully persistent! Why dost thou defile this pantheon with thine presence? Seek ye glory, o vain one?<page>Thou misunderstand Our purpose. Through ritual combat are We attuned to the voices of the Gods.<page>Ever higher do they lead Us! Higher and higher and higher! Until through Godly focus do We attain communion with that great power sleeping in the Kingdom's heart...",
TEMP_NM_SUB,,
HIVE_KNIGHT_2,Have faith in me!,
HIVE_KNIGHT_3,When you wake... the Hive...,
HIVE_KNIGHT_1,Are you watching?,
PLATINUM_TITLE,Heart of Hallownest,
GG_LOCKED_DESC_GHOST_MARMU,I lie dreaming patiently in a garden,
ATRIUM_NPC_DREAM_1,...Our mind a sea...,
DESC_PAINTMASTER,Skilled and respected master of the nail. Always eager to learn new things.,
