ID,EN,TH
PERMA_UNLOCK_UNLOCK,Unlocked,
CREDITS_PORTING_LEAD,Porting Lead - Shark Jump ,
CREDITS_PORTING_LEAD_NAME,Matthew Le Krupa,
CREDITS_ENVIRONDRESSING,Additional Environment Dressing,
MR_MUSH_CONTINUED,TO BE CONTINUED,
PERMA_GAME_OVER,GAME OVER,
CREDITS_INDIE_FUND,Indie Fund,
CREDITS_THANKS_MUSIC,Special Thanks Music,
CREDITS_VOCALS_NAME,Amelia Jones,
CREDITS_TESTERS_MAC_NAME,David Keen<br>Marcus Herrick<br>Jonathan Penney<br>Wayne Psaila,
CREDITS_ADDITIONAL_CODING_NAME,David Lancaster<br>Michael Jenkins,
CREDITS_LOCAL_LEAD,Localisation Lead,
CREDITS_TRANSLATE_CHINESE_NAME,Yun Wei 韦昀<br>Ruiyuan Li 李锐媛<br>Xuan Su 玄素<br>Kust 卡斯特<br>Wesley King 王凯<br>Steven Sun 孙天乐,
CREDITS_ADDIT_TRANSLATE_JAPANESE,Additional Translation - Japanese,
CREDITS_ENVIRONDRESSING_NAME,Tyler Bartley<br>Nathan Elmer,
CREDITS_TRANSLATE_CHINESE,Translation - Chinese,
CREDITS_CONGRATS_BODY_PERMA,You played skillfully and proved you have a Steel Soul.<br>Thank you for taking the time to explore and conquer the world we built.<br>We'll meet again soon with a new challenge for you...,
TUTORIAL_CREDIT_SCORE,Sound and Score by,
CREDITS_EXTRA_THANKS,Extra Special Thanks to,
CREDITS_TESTERS_NAME_COL_02,Ayako Hibino<br>Ben Newhouse<br>Pirate-Rob<br>Unborn_Pho3nix<br>Kyle Pulver<br>Greg Smith<br>Luke Souris<br>Matthew White<br>Kein Zantezuken<br>Benjamin Zarb<br>,
CREDITS_TESTERS_NAME_COL_01,"Hari Dimitriou<br>Tyler Bartley<br>Lili Carlyle<br>Joshua Clark<br>Andrew Cook<br>Shannon Cross<br>Vero ""Embraced"" Reichert<br>Rohan Fraser<br>Nassim ""Simo"" Gebrail<br>Tobias Gut",
PERMA_UNLOCK_TITLE,STEEL SOUL MODE,
CREDITS_TESTERS_MAC,Game Testers - Mac,
CREDITS_SCORE,Sound & Music by,
CREDITS_ADDIT_TRANSLATE_RUSSIAN_NAME,"Danila Evstifeev<br>Andrey Torbin<br>Alexandra ""Alphyna"" Golubeva",
CREDITS_ADDIT_TRANSLATE_RUSSIAN,Additional Translation - Russian,
CREDITS_ADDITIONAL_ENEMYCODE,Additional Enemy Behaviour,
PERMA_GAME_OVER_BODY,"In attempting the feat, one proves their courage.<br>May your Shade at last find rest.",
CREDITS_CHARVOICES,Additional Character Voices,
CREDITS_ADDIT_TRANSLATE_KOREAN,Additional Translation - Korean,
CREDITS_GUITAR,Guitar,
GAME_COMPLETE_PERCENTAGE,PERCENTAGE,
CREDITS_TECH_DIRECT,Technical Director,
CREDITS_TRANSLATE_BPORTUGUESE,Translation - Brazilian Portuguese,
CREDITS_VIOLA,Viola,
CREDITS_ADDITIONAL_CODING,Additional Coding Tools,
CREDITS_TRANSLATE_ITALIAN,Translation - Italian,
PERMA_GAME_OVER_CONTINUE,Press any button to continue.,
CREDITS_FIGSCULPTOR_NAME,David Díaz Patrón,
CREDITS_TRANSLATE_BPORTUGUESE_NAME,"Lucas ""Luska"" Fernandes<br>Vinícius ""Viniuau"" José<br>Jonas Breda ""Poteiga!""<br>Luiz Fernando S. M. Maia<br>Guilherme Antonio Canani<br>Vinícius de Medeiros Miguel<br>",
CREDITS_PORTING,Shark Jump Studios,
