ID,EN,TH
DREAMERS_INSPECT_MONOMON1,Something glows within the tank.,
DREAMERS_EC1_1,Would it seek to break the Seals?,
FAKE_GREET_3,Please sit and rest.,
For diversity. For variance. For evolution. I become bond upon the Vessel.,,
LURIEN_CONVO_4,...Remain...,
"To sleep eternal, what difference from death?",,
DREAMERS_INSPECT_RG6,Dreamer locations added to map,
DREAMERS_INSPECT_RG2,"Monomon the Teacher<br>In her Archive, surrounded by fog and mist.",
DREAMERS_EC1_3,They must be undone.,
DREAMERS_EC2_2,"Fade away, little shadow.<br><br>Fade away, and let us sleep in peace.",
LURIEN_CONVO_6,...Remain...,
"<br><br>Open your minds, brother and sister.<br>Our vow was to protect...but do we? The Vessel weakens.",,
Unused Below,,
DREAMERS_INSPECT_RG4,"Herrah the Beast<br>In her Den, amidst the deep darkness beyond the kingdom.",
DREAMERS_EC1_1A,Would it break the Seals?<br> They cannot be undone.<br> They must be undone.<page>Let us sleep little shadow. Allow us our peace.,
"Remember our promise, sister!<br>We three vowed to protect the seal with all of our devotion.",,
"Only one path I see. The Seals must break. Will it bring destruction? Of course. It will bring change, too. Let it.<page>To live forever in an unchanging world... Death, I would fear less.",,
"For my daughter and my kind, I become bond upon the Vessel.",,
It matters not. Our Seals remain. This shadow seeks to defy us... It must be cast away.,,
"That plague, it calls to something within. But that union it offers is a lie, the cost, a mind regressed.",,
DREAMERS_INSPECT_LURIEN,A sleeping figure lays atop the stone plinth.,
More detached than the other dreamers? Maybe ponders how the Hollow Knight (vessel) feels after all this time. Would he make the same choice again?First few dialogues are very taciturn,,
HEGEMOL_CONVO_1,...Bound...For brood...For child...,
LURIEN_CONVO_3,...Bonds must remain...,
What compels you to claw your way out of the darkness? What compels your return to this sacred kingdom?,,
"Go no further, little shadow.",,
"Talks about her history: As part of the agreement for her alliance and her role as a dreamer, King gave her a child (Hornet). Was she allowed to keep this child or was she taken away?",,
DREAMERS_EC2_1,"It would break the Seals.<br>They cannot be undone.<br>They must be undone.<page>An empty vessel to bring hope.<br>A strong vessel to bring stagnation.<br>An enlightened vessel to bring an end.What then is this?Only a weak thing. It would harm the Vessel, harm the seals.It shall be cast away.",
"<br><br>Do you truly wish to break it...?<br>Do you have the strength, or the will...?",,
LURIEN_CONVO_1,...For King beloved...,
FAKE_GREET_4,It is warm and safe. Sit and rest.,
How long has passed? How long have we slept?,,
DREAMERS_EC1_4,Let us sleep little shadow.<br>Return to your darkness.<br>Allow us our peace.,
LURIEN_CONVO_5,...Remain...,
"What calls it from beyond the Seal?<br>The Vessel, or that captive light?",,
DREAMERS_INSPECT_RG3,"Lurien the Watcher<br>In his Spire, looking over the city.",
DREAMERS_EC1_2,They cannot be undone.,
FAKE_GREET_2,We are friends. Welcome. Sit and rest.,
"Our King appears as bug, and I shall take him as so.But his are traits that transcend our kind. His is a mind beyond ours. Deity given form.In sleep, I shall not look upon his like again.",,
"Fade away, little shadow.<br><br>Fade away, and allow us sleep in peace.",,
MONOMON_CONVO_1,"...For diversity, a Seal...",
MONOMON_CONVO_2,...A world forever unchanging...,
DREAMERS_INSPECT_RG5,"Through their devotion, Hallownest lasts eternal.",
MONOMON_CONVO_4,...Forever...,
"My mind is seal upon that tragic being. But who shall teach them now? Who shall open their minds, where I cannot?",,
MONOMON_CONVO_6,"...Better, an end...",
DREAMERS_INSPECT_RG1,"To protect the Vessel, the Dreamers lay sleeping.",
It would break the Seals.<br>They cannot be undone.<br>They must be undone.<page>An empty vessel to bring hope.<br>A strong vessel to bring stagnation.<br>An enlightened vessel to bring an end.,,
DREAMERS_EC2_1C,Would the Seals break?<br> They cannot be undone.,
"To live forever in an unchanging world... Death, I would fear less.",,
<br><br>Remember our bond... our sacrifice. For the kingdom's sake... for the one we must protect.,,
HEGEMOL_CONVO_6,...For her...,
HEGEMOL_CONVO_4,...For her...,
HEGEMOL_CONVO_5,...For her...,
HEGEMOL_CONVO_2,...Fair bargain made...,
HEGEMOL_CONVO_3,...Give all...,
DREAMERS_EC2_1A_2,What compels its climb out of the darkness? What compels its return to this sacred kingdom?,
MONOMON_CONVO_3,"....the Seals, must break....",
"We sealed that plague, and thought we'd found an answer, but we were wrong.<page>Our sacrifices... what did they win us? A world sealed in stasis.",,
<br>As you say... we made a promise. Let it be done.,,
MONOMON_CONVO_5,...Forever...,
LURIEN_CONVO_2,...To sleep. To serve...,
FAKE_GREET_1,Greetings. You are very tired. Sit and rest.,
DREAMERS_EC2_1G,Our duty holds. It shall be done.,
DREAMERS_EC2_1F,It must be cast away.,
DREAMERS_EC2_1E,Yet still our Seals remain.<br>Our duty holds.,
DREAMERS_EC2_1D,But the Vessel weakens.<br>That plague springs anew.<br>They must be undone.,
FAKE_GREET_5,Welcome. You need rest. Sit and rest.,
DREAMERS_EC2_1B,"A call from beyond the Seals?<br>By the Vessel, or by that captive light?",
DREAMERS_EC2_1A,"Go no further, little shadow.",
DREAMERS_INSPECT_HEGEMOL,A sleeping figure lays atop the stone plinth.,
This little shadow...<br><br>Must return to its darkness.,,
DREAMERS_INSPECT_MONOMON2,A figure sleeps within the tank.,
