ID,EN,TH
ELDERBUG_CROSSROADS_INFECTED,"Ehhh...A sharp sickly smell has started to drift from the well beside town. I'd thought those depths ominous before, now they seem just dreadful.<page>Whatever horrid curse afflicts this ruin, I'd wager it's grown stronger than ever. ",
ELDERBUG_MINES_LIFT,"That noisy old lift, where does it go? Up to the old mines they carved into the peak, I suppose.<page>Have you been up there? Is it true that crystals grow everywhere you step?<page>A villager brought some of those crystals back to the village once. I don't quite understand the allure myself.<page>You can't eat them, and they don't make very good pillows. They hardly seem worth all the trouble to me.",
ELDERBUG_SHOPKEEP_RETURNED,"Oh, what a turn! Our shopkeep's come home. Just wandered back in. I'd hoped for grand tales of his time below, but he seems to remember almost nothing! Maybe it was all too much for him?<page>If you're interested in his wares, watch out! He drives a hard bargain, that one.<page>No competition. That's the problem. It's bad for the market. Not that he's complaining.",
ELDERBUG_DREAM,To descend into that ruin...Why? Things are so much simpler up here.,
ELDERBUG_STAG_STATION_GREET,There’s something about you little traveller. The winds are changing.,
ELDERBUG_FLOWER_REQUEST,"Hm? What's that you have there? Ah! What a beautiful flower!<page>I'd never have guessed by looking, but you have surprisingly good taste in flora. Why are you carrying around such an exquisite bloom?<page>Wait... you didn't...? Ahh!<page>This flower is... is it a gift? For me? Are you really giving me something so precious?",
ELDERBUG_INTRO_WALKEDBY,"Oh! You came back! You walked straight past me, I thought maybe I'd faded away along with this town.",
ELDERBUG_JIJI_DOOR,"Faring well in your adventures below? Well I had an adventure of my own while you were gone.<page>I don't usually visit the town's graveyard, but I thought I'd go and visit the grave of an old friend.<page>As I was walking amongst the tombstones, I noticed a strange kind of chanting coming from somewhere nearby. Extremely sinister chanting!<page>I looked around to find the source, and I saw two bright, horrible, huge eyes staring at me from the door of a dark cave!<page>I pretended I hadn't heard the voice or seen the eyes and scurried back to town. My friend will have to wait a little longer for her visit...",
ELDERBUG_DREAM_FLOWER,These petals... so white. Can you see them too... watching me from wherever you are?<page>Perhaps dreams aren't such bad things after all...,
ELDERBUG_GENERIC_1,"There's something strange about you. I've seen all types pass below, but you... You're almost familiar, though I'm sure we've never met before.",
ELDERBUG_KINGS_PASS,"To reach Dirtmouth, most travellers take circuitous routes around the cliffs beside us. It's a hard trek now but in the kingdom's prime things were far simpler.<page>There's an old pass in the cliffs that once allowed easy access. The bridge up to it has long since crumbled away, and even without it, a huge door bars entry.<page>I can't complain mind you. It's meant we've only ever had to accommodate a trickle of travellers, even during our busiest times.<page>I wouldn't want hordes of bugs to descend on Dirtmouth. I like the quiet.",
ELDERBUG_GOSSIP_HINT,"It's a sprawling land beneath us. If you're ever feeling lost or would care for some direction, come speak with me. I may be able to suggest a new sight or a new path you'd never before considered.<page>Suprised? Despite my lack of experience, I'm actually quite knowledgeable about the lay of the kingdom below. I've listened to countless stories from travellers and explorers just like yourself.<page>I'm sure you'll have your own grand tale to tell once you're finished down there. Either that or you'll be dead! I'll admit, in Hallownest, the latter is far more common.",
ELDERBUG_HINT_ANCIENT_BASIN,Did you know the caverns continue even below the capital? Few have ventured that deep so the details are scant.<page>Those who made it back told of impossibly old structures and roads formed as though the rock itself possessed a will.,
