ID,EN,TH
MOSS_LAKE_1,...She is calling... Home so close...,
HORNET_GG_3,...Do they watch us struggle?..,
ZOM_GUARD_1,Remain...At guard...,
GRIMM_3,The Troupe...,
MANTISLORD_1,...At last a true challenger...,
MAGE_MISTAKE_1,...Why...Why...?,
MANTIS_PASSIVE_3,"...To best our Lords, what strength...",
MOSS_FAT_1,...So bright...our new path...,
WHITE_DEF_5,Your Majesty... Have faith in me!,
FALSE_KNIGHT_D_3,This great shell...It belongs to me!,
WHITE_DEF_4,Isma... I miss.. I miss you...,
FLUKEMOTHER_2,...Kill...,
WYRM_SERVANT_4,Your light... Magnificent and true...,
ORO_2,My path is mine alone...,
FALSE_KNIGHT_1,I'm braver than all of you!,
ZOMBIE_7,I'm not...Dead...,
NIGHTMARE_GRIMM_1,Heart of Flame...,
MAGE_2,...Power...Light...Rage...,
HORNET_GG_2,Little Ghost... What dreams we share...,
MANTIS_TRAITOR_3,Our lands now...,
SHEO_3,"What is a god, if not an artist?",
MIMIC_SPIDER_1,...,
GRIMM_REMINDER_1,...The child...,
GRUB_MIMIC_2,...Kill...,
MAGELORD_D_3,That voice...Was it never there...?,
HIVE_KNIGHT_1,Are you watching?,
MOSS_MAN_2,Our leaves wilt...,
PURE_VESSEL_4,Do not...,
INFECTED_4,...LIGHT RISING...,
GRIMM_GG_1,How grand a stage! ,
HOLLOW_KNIGHT_7,...Father?...,
HIVE_KNIGHT_3,When you wake... the Hive...,
WYRM_SERVANT_1,...My King... All for us...,
ZOMBIE_HIVE_2,...My belly... it tickles...,
ZOMBIE_8,Am I...Sleeping?,
NIGHTMARE_GRIMM_2,In dreams... Born anew...,
PURE_VESSEL_1,Do not think...,
GRUB_MIMIC_1,...Empty...,
MANTIS_YOUNG_1,...Is it child?...,
SLY_2,Point your nail at the thing you seek!,
MOSS_MAN_1,...Unn calls...,
LURKER_3,"Key! Treasure! Begone, begone!",
MEGAJELLYFISH_1,...DO NOT DESPAIR...,
MAGELORD_2,My dreams are eternal and so am I!,
WHITE_DEF_3,Dryya... I miss your wisdom...,
WHITE_DEF_2,Ze'mer... I miss your stories...,
ZOMBIE_5,I can't....Wake up...,
GENERIC_7,...Away. Away...,
DUNG_DEF_1,...For the honour of the King!..,
MAGGOT_2,"Wake up, brother! Help me!",
GRUZMOTHER_1,...Full...Almost time...,
ZOMBIE_ROYAL_4,...Stay back...,
SHEO_2,Are we all seeking something different?,
NIGHTMARE_GRIMM_GG_2,Deepest power... the Heart...,
MOSS_FAT_3,Protect the speaker...,
MAGELORD_1,"The King falls, but I live forever!",
MANTIS_YOUNG_2,...Must kill...Prove strength to the tribe...,
COLOSSEUM_2,"Fear me, warrior!",
ZOMBIE_6,You want....To hurt me?,
MYLA_3,...Bury...Bury the priest in his...,
MYLA_2,...Bury...My sisters...Two by two...,
RADIANCE_4,...I WILL NOT BE FORGOTTEN...,
ZOMBIE_MEGA_MINER_R_3,...Burn! I'm... burning!,
WATCHERS_BUTLER_4,...Master...light calls...,
HOLLOW_KNIGHT_3,"...This Vessel, broken...fails...",
MANTISLORD_2,...Honour from one of its kind...,
WATCHERS_BUTLER_1,Master...so long...,
DUNG_DEF_3,...For the honour of Hallownest!,
MUSH_OGRE_1,...We crush...,
GRAVE_ZOMBIE_3,...Alive... more light...,
RADIANCE_3,...LET ME BE FREE...,
ORO_1,Whatever it takes... I'll prove myself!,
MANTIS_TRAITOR_1,...Outcast...Survive...Kill...,
MANTIS_1,...We honour the Lords...Intruders shall end...,
MANTIS_3,Resist the plague of bug and beast...,
JELLYFISH_1,...MONOMON...,
ZOMBIE_ROYAL_3,This wealth...Mine...All mine...,
FALSE_KNIGHT_2,I'm the strongest now!,
ZOMBIE_MEGA_MINER_3,...Shining... I am the light...,
MUSH_GUARD_SHROOMISH_2,...Mushi mungi ooalala...,
INFECTED_KNIGHT_1,...,
INFECTED_5,...BRIGHT...,
INFECTED_KNIGHT_3,...,
INFECTED_KNIGHT_2,...,
PURE_VESSEL_5,...,
ZOMBIE_MEGA_MINER_2,...My light... My rest...,
RUINS_SENTRY_4,...Protect....the city...,
ZOMBIE_MEGA_MINER_1,...Tired... So long... ,
MAWLEK_3,...Alone...Alone...,
GENERIC_8,...Pain...,
MATO_1,Brothers always fight together!,
ZOTELING_3,She'll never be lonely!,
MAGE_KNIGHT_2,...This power...What did it cost?,
MAGE_KNIGHT_3,These skills...No training I recall...,
MAGE_KNIGHT_1,This soul...Is it my own?,
HIVE_KNIGHT_2,Have faith in me!,
INFECTED_KNIGHT_D_3,...,
COLOSSEUM_1,I am the strongest!,
WATCHERS_BUTLER_2,...I serve...,
ZOMBIE_ROYAL_2,You want....My Geo?,
GREY_PRINCE_5,Jealous fool! You stand no chance!,
GRUB_MIMIC_3,...Other...,
ZOMBIE_ROYAL_1,Your smell...Poor...Kill you...,
HORNET_GREENPATH_3,Only pity for your cursed kind.,
GENERIC_4,...Scared...,
MUSH_GUARD_SHROOMISH_3,...Nyanmul....Gassa ola...,
RADIANCE_6,...THE LIGHT CANNOT BE CONSUMED...,
MAGGOT_1,...oh no oh no oh no oh nonono...,
MEGAFATBEE_3,...Hurt...Kill...Hurt...Kill...,
ZOMBIE_3,...Where is it...?,
GRUZMOTHER_3,...Sleep... Dying...,
INFECTED_KNIGHT_D_2,...,
COLOSSEUM_3,I'll crush it into the dirt!,
MANTIS_YOUNG_PASSIVE_2,"The creature, accepted...",
MOSS_FAT_2,"...Speak, light...",
BEE_HATCHLING_2,...Kill...,
MANTIS_YOUNG_3,...It must learn fear...,
MUSH_GUARD_2,...Must protect... Must kill...,
COLOSSEUM_4,You cannot harm me!,
BLACK_KNIGHT_1,Defend...Seal...,
FLUKE_BIT_2,...Mother...,
BEE_HATCHLING_1,...Protect...,
RADIANCE_5,...DAWN WILL BREAK...,
FLUKE_BIT_1,...Mother...,
MANTISLORD_3,This one shows promise...,
FK_MACE_1,Free at last!,
DUNG_DEF_2,...For the honour of the Five!..,
MUSH_GUARD_1,...Stay back...,
ZOMBIE_HIVE_3,Humming... from where..?,
ZOMBIE_2,Your smell...Kill you...,
RUINS_SENTRY_1,...Outsider...,
GRIMM_GG_3,"An honour, Seeker, to attend your call!",
ZOM_GUARD_3,Come no closer!,
FLUKEMON_3,...Mother...Mother...,
MANTIS_2,...No more will fall...No more outcast...,
MAGE_MISTAKE_3,...Did it work...?,
MANTIS_PASSIVE_1,...Great warrior. The Lords accept it...,
GORGEOUS_HUSK_2,You're beautiful! I'm beautiful!,
GORGEOUS_HUSK_3,My light is the only true light! Follow me!,
GORGEOUS_HUSK_1,Glorious! Glorious! Yesss!,
MATO_2,Don't leave me behind!,
FALSE_KNIGHT_D_1,I'm braver than all of you!,
MOSS_KNIGHT_2,"...Kill, for light...For Unn...",
MOSS_KNIGHT_3,...Protect...Destroy...,
MOSS_KNIGHT_1,"...New light, in our leaves...",
INFECTED_2,...HOT...BURNING...,
HORNET_GG_1,Do you haunt my dreams... Or I yours?,
MAGELORD_D_1,You promised I would live forever!,
GENERIC_2,...Safe...Dark...,
GENERIC_3,...Hungry...Hungry...,
GRIMM_FLAMEBEARER_1,Dance with me!,
GENERIC_1,...Light...Danger...,
JAR_COLLECTOR_2,"A safe space, for you! And you! And you!",
JAR_COLLECTOR_3,It must be saved! ,
MAWLEK_2,Do they hear me...?,
JAR_COLLECTOR_1,My love! My love! Protected at last!,
FALSE_KNIGHT_D_2,I'm the strongest now!,
HORNET_GREENPATH_1,"Too weak, little ghost...",
ZOMBIE_MINER_3,"...Mind...Bright... Must find, more light...",
INFECTED_1,...BRIGHT...,
RUINS_SENTRY_2,...Defend...,
MUSH_OGRE_SHROOMISH_1,Melemag....Mu ola...,
WYRM_SERVANT_2,... We will wait... King...,
WYRM_SERVANT_3,...King... Your troubles... Let us...,
ROYAL_GUARD_2,...Kill...,
PARASITE_BLOB_1,...LIGHT...,
LURKER_1,King! Mine!,
GRIMM_FLAMEBEARER_2,So dark! Burn brighter!,
FLUKEMON_2,...Mother...,
RUINS_SENTRY_3,...Kill...,
GREY_PRINCE_2,I love her more!,
SHEO_1,"It's the greatest power, isn't it?",
GIANTBUZZER_1,...Rage...,
HORNET_GREENPATH_2,No shadow will haunt me...,
GIANTBUZZER_2,...Defend...Kill...,
GENERIC_5,...Eat...When...,
LURKER_2,For me! For you! For King!,
MEGAFATBEE_2,...Brothers...Sisters...Mother...,
GRIMM_1,The Flame...,
BLOCKER_2,Danger...Hurt.,
BLOCKER_3,Hidden...Safe...Dark.,
GRIMM_2,The Ritual...,
BLOCKER_1,...Protect...,
MANTIS_YOUNG_PASSIVE_1,...Mighty Warrior...,
MOSS_MAN_3,Protect the road of Unn...,
ZOTE_3,"I'll kill a thousand more...Will that be enough, father?",
JELLYFISH_LIL_1,...Monomon...,
BLACK_KNIGHT_2,Light...Full...,
GRAVE_ZOMBIE_2,...Sleep... light... sleep...,
GRAVE_ZOMBIE_1,...Light... mine...,
GRUZMOTHER_2,...Danger...Tired...Kill...,
PURE_VESSEL_3,Do not hope...,
MUSH_GUARD_SHROOMISH_1,"Nyush oola mumu? Shruba dungo ola, ola mu... gungi?",
TISO_1,...Why?..,
SLASH_SPIDER_2,...Our domain...,
MUSH_GUARD_3,...Our mind as one...,
MAGELORD_3,I can hear it...The whispering of their souls...,
FALSE_KNIGHT_3,This great shell...It belongs to me!,
RADIANCE_1,...ANCIENT ENEMY...,
NIGHTMARE_GRIMM_GG_1,Gods... bound by ritual...,
GREY_PRINCE_4,I'll kill you quickly... I must tend to my Queen!,
ZOM_GUARD_2,Protect...I must...,
SLASH_SPIDER_3,...For Herrah...For Brood...,
GREY_PRINCE_3,Dark... Light... They're nothing compared to her!,
SLY_1,Dreams of glory...,
MAGE_3,...Mind swells...Mind aches...,
MAGE_MISTAKE_2,...Light....Soul...Light!,
MANTIS_PASSIVE_2,Honour from an outsider...How rare...,
HOLLOW_KNIGHT_6,...Kill the usurper...Our light it would suffocate...,
ZOTE_2,Another fool to be cut down by Life Ender...,
MYLA_1,...Bury my mother...Pale and slight...,
ZOTELING_1,She's beautiful!,
ZOMBIE_HIVE_1,Sweet. Sweet. Sweet!,
INFECTED_3,...NO MORE DARK..,
MUSH_OGRE_SHROOMISH_2,...Undaya...Moga moga nala...,
MUSH_OGRE_SHROOMISH_3,Gagan oola,
MAGGOT_3,Aaaaaaaauugghhhhh!,
ZOMBIE_4,That sweet smell...Burns...,
RADIANCE_2,...I DO NOT FEAR YOU...,
MAWLEK_1,Where are they...?,
MINDLESS_1,...,
PARASITE_BLOB_2,...BRIGHT...,
PARASITE_BLOB_3,...GLOW...,
SLY_3,Remember... you are brothers...,
MANTIS_TRAITOR_2,...Intruder...Destroy...,
WHITE_DEF_1,Hegemol... I miss your humour...,
NIGHTMARE_GRIMM_GG_3,Scattered lands... Nightmare binds all...,
FLUKEMON_1,...Mother...,
RUINS_SENTRY_5,...Not welcome...Kill...,
NIGHTMARE_GRIMM_3,Power... Fear...,
MAGELORD_D_2,Did their souls bring me closer to the light?,
GRIMM_FLAMEBEARER_3,"Take it, if you're worthy!",
MANTIS_YOUNG_PASSIVE_3,...The challenger...,
BEE_1,...Protect the Queen...,
ZOTELING_2,She's so talented!,
BEE_3,...Keep away...,
BEE_2,...Destroy...,
ZOMBIE_10,I'll kill you!,
ZOMBIE_MINER_2,Crystal... Light...,
ROYAL_GUARD_1,...Defend...,
ZOMBIE_MEGA_MINER_R_1,...Die...Leave...Die...,
ZOMBIE_MEGA_MINER_R_2,...Kill it...KILL IT...,
ZOMBIE_9,...Light...The light...,
MEGAFATBEE_1,...Hungry...Tired...Hungry...,
ZOTE_1,"Fear not, cur... Your death will be swift.",
ZOMBIE_1,Get away from me!,
GIANTBUZZER_3,...Light...,
INFECTED_KNIGHT_D_1,...,
FLUKEMOTHER_1,...Breed...,
WATCHERS_BUTLER_3,...I will watch over you...,
FLUKEMOTHER_3,...Keep away...,
BLACK_KNIGHT_3,...Strong husk...,
GRIMM_GG_2,A charming ritual... a pleasure! ,
PURE_VESSEL_2,Do not speak...,
GREY_PRINCE_1,My Queen... I do it all for you!,
GENERIC_6,...Kill...Hurt...,
HOLLOW_KNIGHT_2,...Shall blaze free...,
HOLLOW_KNIGHT_1,...Kill...,
HORNET_K_EDGE_1,Could this one succeed?,
HORNET_K_EDGE_2,Is it strong enough?,
HORNET_K_EDGE_3,From where does it draw this strength?,
HOLLOW_KNIGHT_5,"...No mind, the usurper...Only strength...",
HOLLOW_KNIGHT_4,...Dawn...Shall break...,
MAGE_1,...I feel them within me...,
BEE_HATCHLING_3,...Enemy...,
SLASH_SPIDER_1,...Protect...Crush..,
MUSH_OGRE_3,...We as one...,
MUSH_OGRE_2,...We strong...,
ZOMBIE_MINER_1,...Dig... Kill... Wealth...,
MEGAJELLYFISH_2,...DO NOT SACRIFICE...,
MEGAJELLYFISH_3,...LIGHT...FOR...MONOMON...,
RUINS_SENTRY_6,...Keep out...,
