ID,EN,TH
HU_INSPECT,We remember the Elder.,
CHAGAX_TALK,I used to help others. They were brought to me sick and dying... What difference did it make?...<page>Any victory against death will always be temporary.,
HU_DEFEAT,"My mind... it clears. Have we been... sleeping, child?<page>Aah... I remember. Those proud lords... were they truly monsters? I remember their eyes now... bright and clear. Why then did I fear them so?<page>If there was madness in that village, it was I who brought it. They were right to cast me out.<page>When I attacked, they were right to...<page>They were right to kill...<page>To kill... me...?<page>...aah.",
MOLTEN_TALK,Don't fear my rotting form. Though my body sheds and changes my core remains the same.,
KCIN_REPEAT,Seeking power is a hollow goal. Best to search for other things.,
HEX_REPEAT,Go bother someone else. You're not the one I'm waiting for.,
XERO_REPEAT,"Do you still hope, wanderer? Will you flee? Or will you raise your weapon and doom us both?",
GROHAC_TALK,"We're always left with reminders of the errors we've made. Let your mistakes not burden you, but serve as guideposts on where not to travel.",
GALIEN_REPEAT,So then... shall we do battle? Let us test our strength in joyful combat!,
KARINA_TALK,"Are you admiring my fabulous markings? I'm of a distinguished species you see, though I've not seen another like me for the longest time.",
THISTLEWIND_TALK,"Ahhh, a wanderer.<page>I've been many places and done a great many things, but I suspect you will outdo me by far.<page>I've long ceased travelling the caverns of Hallownest and I suspect they're now far more dangerous than in my journeys, though with your capable air I'm sure you'll do fine.<page>Good luck! It's a vast world out there.",
WAYNER_TALK,"Hark, fellow adventurer! Are you heading out into the world? I'd join you, but it's been so long, I fear I'd lose my head.",
ALADAR_INSPECT,"Here lies Gorb, the Great Mind.",
MUMCAT_TALK,"Oh! The Queen! The Queen is coming! I've been waiting so long, and now she's almost here! I feel like I'm about to burst!<page>I've kept it safe, this sacred garden! I've kept it safe for all this time, and soon the Queen will return and teach me to fly!<page>Shall we wait together, stranger? Shall we play together?",
PERPETOS_TALK,"Are you enjoying your time in our glade? I'd offer advice, though to have made it here you're obviously quite adept at navigating our world and its perils.",
GARRO_REPEAT,Stand strong little warrior.,
GRASSHOPPER_TALK,"Isn't this just the most intriguing place? So many discoveries waiting to be made. We're about to set off ourselves, though we can't seem to agree on which way to head.<page>It's led to something of an argument between us. We should really stop squabbling about such petty things. ",
100NAIL_TALK,"Do you like my nails little wanderer? I carry only three, far less than legends may suggest.<page>Still! Each is sharper than the last and I'd require only one to cut you down. ",
MILLY_REPEAT,Buy my cookies! Once I've sold them all I can go home.,
MAGNUS_TALK,"All of life's problems can be solved with crushing force. Such a simple mantra and one I've always lived by.<page>If you weren't so scrawny, I'd suggest you follow my example.",
ATRA_REPEAT,My appearance should not cause you worry. Here I am truly at peace.,
GALIEN_DEFEAT,"Unbelievable... I am defeated at last! So this is what it feels like to be bested...<page>Still though, I am strong, am I not? When you see our King, surely you'll tell him of my valour...?<page>Yes... he sent you here to test me, didn't he? I knew he had not forgotten brave Galien.<page>I am ready... to join you now. Brothers, you and I. Let us leave this place...<page>...together...",
GALIEN_INSPECT,The body of a fallen warrior.,
NOEYES_REPEAT,"Precious children, a monster has come for us in the dark...Will you sing for me?",
HU_REPEAT,"Beware dreams of glory, child. Turn back, and do not return.",
PERPETOS_REPEAT,"You're very impressive for such a small thing. I'm something of a warrior myself, though even I'd hesitate to raise my nail against you.",
GRAVEDIGGER_REPEAT,Do as you will little wanderer. Cut a path toward your goal.<page>I shouldn't complain. It's your kind that keeps folks like me in business.,
MARKOTH_TALK,"You have come a long way, just to die here at the edge of the world.<page>No, do not speak. I have heard thousands and thousands of empty words from those like you. Your pride, your desires, your desperation... you will take these things with you once I strike you down.<page>Raise your weapon then, and die like those who came before you.",
MARISSA_REPEAT,"Even if only you, it's a wonderful thing to have an audience again.",
NOEYES_INSPECT,A face carved from stone.,
