ID,EN,TH
FUNG_GUARD_01,...Tired...,
DUSK_KNIGHT_DREAM,unused,
FUNG_GUARD_02,...Drained...,
FUNG_SHROOM_DREAM,Pale Wyrm...What good to foresee a demise unavoidable?,
COL_CORPSE_ACID_02,...Champion?...,
BATHHOUSE_CORPSE,...Marissa...,
KING_WORKSHOP_MOULD,...SERVE...,
PILGRIM_TAB_01,"The Pilgrim's Way<br>Travellers of Hallownest, descend through verdant wilds and fungal groves to the city at this kingdom's heart.<br>There all wishes shall be granted, all truths revealed. ",
FAT_GRUB_KING,Happy... happy... happy!!!,
DREAM_PLANT_GREENPATH,...Greenkin lost...<page>...Paths overgrown...<page>...Dream forgotten...,
ARCHIVE_01,-THIR-YOLK-ABA-ABSENCE-OUTER-SHELL-O-GATE-CONTAIN<br>LIGHT-EM-VESSEL-EM-EGG-EM-SEAL-THIR-WITHDRAW<br>EXTERIOR-O-SEAL-WITHIN-DREAMER-INTWIXT-ATWIXT<br>CONTAIN-LIGHT-THIR-DREAM-CH-ABA-UNGROWTH-CONTAIN-,
DREAM_DUMMY,...Stronger... Brothers...,
DREAM_PLANT_SHAMAN,...Soul attuned...<page>...Spiral focus...<page>...Shunned Power...,
KING_IDOL_CORPSE_02,...Saviour...,
GIRAFFE_CORPSE,...Please... Not food...,
TUT_TAB_03,"Higher beings, these words are for you alone.<br><br>Within our lands do not hide your true form. Let all bask in your majesty, for only this kingdom could produce ones such as you.",
GARDEN_CORPSE_01,...Lost...,
DREAM_PLANT_ABYSS_01,...Kingdom above...<page>...Palace below...<page>...Servants' path...,
LURIAN_JOURNAL,"Sleep beckons eternal and these words become my last.<br>Though my gaze shall no longer fall upon this city, I will act forever in its protection.<page>For King, for bug, for Hallownest, I head now to my rest.",
DREAM_MINES_ROBOT,DIG...DIG...CRUSH...DIG...LIFT...DIG...LIFT...DIG...<br>CRUSH...OBEY...DIG...LIFT...CRUSH...DROP...<br>DROP...DIG...LIFT...DIG...CRUSH...OBEY...DIG...<page>DIG...DIG...LIFT...FOLLOW...OBEY...FOLLOW...OBEY...<br>CRUSH...CRUSH...OBEY...CRUSH...OBEY...CRUSH...<br>CRUSH...CRUSH...CRUSH...CRUSH...CRUSH...CRUSH...,
RUIN_TAB_01,The great gates have been sealed.<br>None shall enter.<br>None shall leave.,
RUIN_TAB_02,"Missing monarch, we need you now. The madness spreads. The Vessel fails. You must return to us.",
MANTIS_PLAQUE_01,"Wanderers seeking death, welcome.<br>May you find swift end upon our claws.",
TRAM_WORKER_01,...It couldn't be built...,
FUNG_CORPSE_TRAPPED,...Trapped...,
JOURNAL_ZAP_BUGS,A tank full with Charged Lumaflys.,
ISMA_DREAM,...Ogrim...there's no time...,
JOURNAL_GOAM,"A fossilised Goam, wedged into the rock.",
FUNG_CORPSE_01,...The fog...,
DASH_MASTER_STATUE,...Dash faster... Dash further... Dash forever...,
CLIFFS_NAIL_CORPSE,...Strong...,
TRAM_WORKER_02,...this nest rejects us...,
DREAM_PLANT_REST_GLADE,...Sacred memories...<page>...Honoured souls...,
DREAM_PLANT_MINES,...Light refracted....<page>...Energy contained...,
WISHING_WELL_INSPECT,A true servant gives all for the Kingdom.<br>Let Hallownest's Pale King relieve you of your burden.,
WP_WORKSHOP_01,"VOID, yours is the power opposed.<br>But yours is potential, eternity potential, force that could deny Time.<br>VOID, harness shall be placed upon you.",
MIMIC_CORPSE_04,...My face...,
MIMIC_CORPSE_05,...Wrong...,
MIMIC_CORPSE_06,...Come back...,
MOSS_FAT_MOUND_02,...Bright...,
MOSS_FAT_MOUND_01,...Light...,
MIMIC_CORPSE_01,...You were dead?...,
MIMIC_CORPSE_02,...Like me...,
MIMIC_CORPSE_03,...Brother...,
JOURNAL_TENDRILS,An imprint of Abyss given form.,
MIMIC_CORPSE_08,...How?...,
MIMIC_CORPSE_09,...Don't run...,
WATCHER_SPIRE_CORPSE_01,...Master... Too tired...,
APARTMENT_ROYAL_02,...Tastes... Wrong...,
LOOM_SPIDER_02,...Princess...,
SARCOPHAGUS_01,...Let me rest...,
ANCIENT_SPIDER_CORPSE,Remains of an ancient creature.,
DREAM_PLANT_CROSS,...Twisting paths...<page>...Travelling masses...<page>...Vessel Sealed...,
MIDWIFE_FOOD_CORPSE,...Happy... teeth?..,
MAP_SHOP_CLOSED,"For all your mapping supplies, we will be opening soon.<br>                                                       - Iselda & Cornifer",
APARTMENT_ROYAL_01,...Hungry...,
HIGHER_BEING_CORPSE,...No king... No mind... Release...,
BELIEVE_MOTH_02,"Such destruction... Is this your way of honouring those who believe?<page>Their riddles and ramblings may seem to us meaningless, or indecipherable, or grotesque...<page>But if they did not believe... what would become of you and I?",
TUT_TAB_02,"Higher beings, these words are for you alone.<br><br>Beyond this point you enter the land of King and Creator.<br>Step across this threshold and obey our laws.<br><page>Bear witness to the last and only civilisation, the eternal Kingdom.<br><br>Hallownest",
ARCHIVE_02,-KINGLIGHT-EM-GROWTH-INKIND-FLOW-ALLTHINK-ENFIELD<br>OLDLIGHT-EM-ESSENCE-EM-DREAM-EM-UNGROWTH<br>O-ENDTHINK-ABA-KINGLIGHT-CH-OLDLIGHT-THEMKIN-O-CH<br>THINKFLOW-ABA-DREAM-UNCONTAIN-THIR-UNGROWTH-ENDLIFE-,
RUINS_MARISSA_POSTER,Songstress Marissa<br>A voice to ease all burdens and still all troubled minds.,
KING_IDOL_CORPSE_01,...My King...,
MANTIS_PLAQUE_02,The truce remains.<br>Our vigil holds.<br>The beasts are kept at bay.,
SHADE_BEAST_02,...Lord of Shades...,
