ID,EN,TH
GAME_BACKER_NAMES,เครดิตผู้สนับสนุน:,
UI_MENU_ACHIEVEMENTS_XB1,ความสำเร็จ,
DESC_VSYNC,เปิดไว้เพื่อประสบการณ์ที่ราบรื่นยิ่งขึ้น ป้องกันการฉีกขาดของภาพ,
VIDEO_SHADERS,คุณภาพการเบลอ:,
PROFILE_CORRUPTED,บันทึกเสียหาย,
ACHIEVEMENTS_BASE_SET_TITLE,ความสำเร็จ Hollow Knight,
MOH_LOW,ต่ำ,
DESC_SHADERS,ลดเพื่อเพิ่มประสิทธิภาพในเครื่อสเปคต่ำ,
DESC_BACKER_NAMES,แสดงชื่อผู้สนับสนุน Kickstarter ควบคู่ไปกับการสนับสนุนของพวกเขา,
SCREEN_ACHIEVEMENTS,ความสำเร็จ,
LANG_RU,Русский,
OS_SLIDER,ขนาด,
CTRL_REMAP,กำหนดปุ่มกดใหม่,
SCREEN_SAVE_PROFILES,เลือกโปรไฟล์,
BUTTON_DASH,แดช,
OPEN_CONTROLLER,แนะนำให้ใช้คอนโทรลเลอร์,
DESC_NATIVE_ACHIEVEMENTS,แสดงข้อความในเกมเมื่อได้รับความสำเร็จ,
BUTTON_DOWN,ลงล่าง,
SCREEN_AUDIO,เสียง,
BRIGHT_INSTRUCT,ปรับความสว่างได้ตามต้องการ,
PROFILE_CLEAR_PROMPT,ล้างข้อมูลที่บันทึกไว้หรือไม่?,
PROFILE_CLEAR_BUTTON,ล้างข้อมูลที่บันทึกไว้,
BUTTON_MAP,แผนที่ด่วน,
NAV_YES,ใช่,
MODAL_KEEP_RES,จำขนาดหน้าจอนี้ไว้หรือไม่?,
LANG_PT,Português (Brasil),
LANG_DE,Deutsch,
MAIN_ACHIEVEMENTS,ความสำเร็จ,
STEEL_MODE_TEXT,ไม่มีการฟื้นคืนชีพ ตายแล้วตายเลย,
MODAL_QUIT_TO_MENU,ออกสู่เมนูหรือไม่?,
MAIN_SWITCH_USER,สลับผู้ใช้,
BUTTON_RIGHT,ไปทางขวา,
AUDIO_MASTER_VOL,เสียงหลัก:,
SCREEN_GAMEPAD_REMAP,กำหนดปุ่มคอนโทรลเลอร์ใหม่,
MOH_OFF,ปิด,
PAUSE_CONTINUE,เล่นต่อ,
LOADING,กำลังโหลด...,
VIDEO_VSYNC,V-Sync:,
BUTTON_LOOK,มองไปข้างบน / ข้างล่าง,
BUTTON_SUPER_DASH,ซุปเปอร์แดช,
BUTTON_JUMP,กระโดด,
LANG_JA,日本語,
MODAL_CONNECT_CONTROLLER_PROMPT,เชื่อมต่อคอนโทรลเลอร์เพื่อดำเนินการต่อ,
NAV_BACK,ย้อนกลับ,
NAV_RESET,รีเซ็ตค่าเริ่มต้น,
OPTIONS_VIDEO,วิดีโอ,
NAV_APPLY_TRUE,ใช้งาน,
SCREEN_EXTRAS,พิเศษ,
KEYBOARD_NONE,None,
DESC_PARTICLES,ลดเพื่อเพิ่มประสิทธิภาพในเครื่อสเปคต่ำ,
BUTTON_ATTACK,โจมตี,
DESC_NATIVE_INPUT,เปิดใช้งานหากประสบปัญหากับคอนโทรลเลอร์ จำเป็นต้องรีสตาร์ท,
BUTTON_MOVE,เคลื่อนที่,
LANG_FR,Français,
OPTIONS_CREDITS,เครดิต,
OPTIONS_KEYBOARD,คีย์บอร์ด,
PROFILE_LOADING,กำลังโหลด...,
MODAL_QUIT_GAME,ออกจากเกม?,
PROFILE_NEW_GAME,เริ่มใหม่,
VIDEO_PARTICLES,เอฟเฟกต์อนุภาค:,
CTRL_PRESSBUTTON,กดปุ่มใหม่,
MAIN_EXTRAS,พิเศษ,
CTRL_UNMAPPED,ไม่กำหนด,
DESC_FRAME_CAP,จำกัดอัตราเฟรมสูงสุดสำหรับภาพที่ลื่นไหล,
VID_OPT_BORDERLESS,ไร้ขอบ,
GAME_NATIVE_ACHIEVEMENTS,แสดงความสำเร็จ:,
GAME_NATIVE_INPUT,อินพุตคอนโทรลเลอร์เนทีฟ,
OPTIONS_CONTROLLER,คอนโทรลเลอร์,
MOH_MED,ปานกลาง,
AUDIO_MUSIC_VOL,เสียงดนตรี:,
ACHIEVEMENTS_BASE_SET_TEXT,ความสำเร็จสำหรับ Hollow Knight,
MAIN_QUIT,ออกจากเกม,
SCREEN_OPTIONS,ตั้งค่า,
MODAL_PROGRESS,ความคืบหน้าจะถูกบันทึก,
NAV_NO,ไม่,
CTRL_NO_ACTIVE,ไม่มีคอนโทรลเลอร์ที่ใช้งานอยู่,
BUTTON_DREAM_NAIL,หมุดฝัน,
NORMAL_MODE_TEXT,โหมดการเล่นปกติ,
BUTTON_LEFT,ไปทางซ้าย,
VIDEO_DISPLAY,หน้าจอ:,
PAUSE_MAIN,ออกสู่เมนู,
PROFILE_DEFEATED,พ่ายแพ้,
CTRL_NONE,ไม่ได้เชื่อมต่อคอนโทรลเลอร์,
TEXT_SKIP_PROMPT,กดปุ่มใดก็ได้เพื่อข้าม,
BRIGHT_SLIDER,ความสว่าง,
SCREEN_KEYBOARD,คีย์บอร์ด,
AUDIO_SOUND_VOL,เสียงโดยรวม:,
MODE_STEEL,วิญญาณเหล็กกล้า,
LANG_ZH,简体中文,
LANG_EN,ไทย,
OPTIONS_AUDIO,เสียง,
LANG_IT,Italiano,
VIDEO_FRAME_CAP,เฟรมสูงสุด:,
LANG_ES,Español,
CTRL_NO_ACTIVE_DESC,กดปุ่มบนคอนโทรลเลอร์ หรือเชื่อมต่อคอนโทรลเลอร์ใหม่ เพื่อเปิดใช้งาน,
BUTTON_QCAST,ร่ายไว,
BUTTON_CAST,โฟกัส / ร่าย,
