ID,EN,TH
BIGCAT_REPEAT,"Hmpph...Be on your way then? It's rest I'll return to, though in these times sleep oft proves uneasy. ",
KING_ABYSS_FINAL_A,You shall seal the blinding light that plagues their dreams.,
LITTLE_FOOL_NOTENOUGH,"Ah, you lack the Geo to make a contribution. We can't make an exception, I'm afraid. Return once you are worthier... and wealthier.",
JINN_TALK_02,"...Its body, so soft... Fragile... Inferior built. Not like Jinn.<page>Jinn, does not take... hurt. Jinn shall last.",
JINN_ACCEPT,...Gift is... horrible gift. Digusting...<page>But Jinn knows one who appreciates...Friend of Jinn. Eats nasties. Loves nasties. Shall accept. Shall provide.<page>Shinies for tiny It... Good to give Shinies. Less burden for Jinn.,
WHITE_DEFENDER_OUTRO_2,My King... I believe in you. I believe in Hallownest! My devotion will never falter...,
LITTLE_FOOL_PAID,"Very well then, a new trial is open to you. I hope your performance is spectacular...",
GIRAFFE_UPPER_REPEAT,"Mmmmmm, just splendid.",
SPIDER_GREET2,"My good friend. You wear that bright mark of relationship. Then you've met her perhaps? Her who'd guard the mark, the Gendered Child.<page>A spritely thing, isn't she? Pale gift to the Nest and the Beast, and fair trade for sacrifice made.<page>Long she's been distant. It'd do our spirits well were she to grace us a visit home...<page>...He hee. Oh. Hmm. I am sorry. Old memories cause my mind to wander on such silly diversions, especially when I'm oh so famished...",
MR_MUSHROOM_SHROOMISH1,"Nyush oola mumu? Shruba dungo ola, ola mu... gungi.",
CLOTH_DEEPNEST_MEET,Greetings tiny creature. You got the look of an adventurer alright. I'd call myself the same but this dreadful place makes me feel inadequate.,
TISO_COLOSSEUM_REPEAT,"I'll crush them all. Oh, and you. You'll see me at my deadly best.",
SPA_DUO_DREAM,"Another weak one. I'd suggest it try its nail within the colosseum, though it'd no doubt be squashed in an instant.",
JINN_NOEGG,...A problem. It did not bring the gift Jinn wants. No trade can occur... None.<page>...Will It seek out the gift Jinn wants? The horrible... round... disgusting gift? Will It return? Jinn will be waiting...,
MASK_MAKER_UNMASK3,"To change a face; to conceal it fully within another... A powerful protection that is, but one with sad consequence.<page>The original mind is destroyed, though those of striking will may still retain a sliver of that concealed self.",
MINER_DREAM_2,... how much longer... KILL IT... how much longer... DANGEROUS... how much longer... KILL IT... how much longer... KILL THE EMPTY ONE...<page>...how much longer... must I dig...?,
MINER_DREAM_1,"I'm so close... Keep singing, crystals! Keep singing so I can find you!<page>Keep whispering, crystals! I can almost hear what you're saying!",
WHITE_DEFENDER_OUTRO_3,My King... Hallownest will be reborn! Glorious and bright! Just as it always was...,
LITTLE_FOOL_UNPAID,"Stop there! That trial is closed to those who haven't made the proper contribution. Step over here, quickly, and bring your Geo with you!",
BRETTA_DREAM_ZOTE,Heroic...Beautiful...,
