ID,EN,TH
CITY_LIFT_1,150,
NOTCH_SALUBRA_4,1400,
CHARM_NORECOIL,120,
TOLL_BENCH_ROYALGARDENS,150,
NOTCH_SALUBRA_1,120,
NOTCH_SALUBRA_2,500,
NOTCH_SALUBRA_3,900,
TUK_RANCIDEGG_MIN,80,
TUK_RANCIDEGG_MAX,100,
COLOSSEUM_SILVER,450,
CHARM_BLUEHEALTHSMALL,250,
TOLL_BENCH_RUINS_1,150,
CHARM_GEODROPUP,200,
CHARM_LONGNAIL,300,
STAGWAY_GREENPATH,140,
PIN_DREAMPLANT,150,
CHARM_GLASS_HP_BRK,200,
MAP_DEEPNEST,50,
MAP_RESTING_GROUNDS,75,
HEARTPIECE_SLY_1,150,
PIN_SPA,100,
CHARM_HATCHLING,200,
MAP_ROYAL_GARDENS,200,
BANK_TRANSACTION_AMOUNT,50,
MAP_CLIFFS,100,
ITEM_ELEGANTKEY,800,
PIN_STAG,100,
CHARM_COMPASS,220,
HEARTPIECE_SLY_3,800,
TOLL_GATE_MINES,50,
MARKER_Y,100,
TOLL_GATE_DEEPNEST,50,
MAP_FOG_CANYON,200,
MARKER_R,100,
STAGWAY_CROSSROADS,50,
CHARM_GLASS_ATTACK_BRK,350,
CHARM_ENEMYRECOILUP,350,
CHARM_QUICKFOCUS,800,
CHARM_GLASS_GEO,250,
MAP_GREENPATH,80,
COLOSSEUM_BRONZE,100,
NAIL_UPGRADE_4,4000,
MAP_WATERWAYS,100,
MARKER_W,210,
UNBREAKABLE_STRENGTH,15000,
MAP_ABYSS,150,
STAGWAY_ROYAL_GARDENS,200,
CHARM_SOULDRAIN,800,
BANK_THEFT_LIMIT,2500,
MAP_CROSSROADS,40,
PIN_GHOST,180,
SIMPLE_KEY_SLY,950,
MAP_MINES,150,
NAIL_UPGRADE_2,800,
STAGWAY_HIDDEN,300,
WISH_FOUNTAIN,3000,
CHARM_SPRINTMASTER,400,
TOLL_GATE_GREENPATH,60,
HEARTPIECE_SLY_2,500,
NAIL_UPGRADE_3,2000,
CHARM_GLASS_ATTACK,600,
RELIC_4,1200,
RELIC_3,800,
RELIC_2,450,
RELIC_1,200,
STAGWAY_RUINS_2,300,
STAGWAY_RUINS_1,200,
MAP_FUNGAL_WASTES,100,
CHARM_GEOGATHERER,300,
STAGWAY_FUNGUS_STATION,120,
RANCID_EGG_SLY,60,
NAILMASTER_ORO,800,
PIN_COCOON,100,
COLOSSEUM_GOLD,800,
CHARM_STALWARTSHELL,200,
PIN_BENCH,100,
ITEM_QUILL,120,
CHARM_GLASS_GEO_BRK,150,
BANK_LIMIT,4500,
UNBREAKABLE_HEART,12000,
PIN_TRAM,100,
TOLL_BENCH_ABYSS,250,
MAP_CITY,120,
STAGWAY_DEEPNEST,250,
STAGWAY_RESTING_GROUNDS,50,
MAP_OUTSKIRTS,150,
UNBREAKABLE_GREED,9000,
HEARTPIECE_SLY_4,1500,
SALUBRA_BLESSING,800,
PIN_SHOP,100,
CHARM_GLASS_HP,350,
ITEM_LANTERN,1800,
BANK_OPEN_ACCT,100,
CHARM_SPELLDMGUP,220,
LEGEATER_SOMETHING,86,
SOULPIECE_SLY_4,2200,
SOULPIECE_SLY_2,900,
SOULPIECE_SLY_3,1400,
NAIL_UPGRADE_1,250,
SOULPIECE_SLY_1,550,
MARKER_B,100,
