ID,EN,TH
WATERWAY_DOOR_KEY,A mechanism with a simple keyhole.<br>Use a Simple Key?,
GET_ACIDARMOUR_2,Swim in acidic waters without coming to any harm.,
FOUNTAIN_PLAQUE_DESC,In the Black Vault far above.<br>Through its sacrifice Hallownest lasts eternal.,
BATH_HOUSE_NOKEY,A door with a simple lock.,
ABYSS_DOOR_NOBRAND,This text has been removed,
NOT_ENOUGH_GEO,Not enough Geo.,
JIJI_OFFER,Give Jiji a Rancid Egg?,
PROMPT_ATTACK,Attack,
SIT,SIT,
LEGEATER_SOMETHING,Pay to see something nice?,
CHALLENGE,CHALLENGE,
GET_SCREAM_2,Spells will deplete SOUL.<br>Replenish SOUL by striking enemies.,
PROMPT_FOCUS_EXPLAINER2,to focus SOUL and HEAL.,
XUN_OFFER,Accept the Gift?,
NAILMASTER_PAY,Pay to learn the master's Nail Art?,
ACCEPT,ACCEPT,
TRAM_DOOR_NOPASS,A door with an open slot.,
GET_DREAMNAILUPGRADE_2,The Dream Nail is upgraded. It can break into even the most protected mind.,
GEO_RELIEVE,Drop all Geo into the fountain?,
FOUNTAIN_PLAQUE_TOP,memorial to the,
GET_JOURNAL_1,"to open the Menu, then navigate to the 'Journal' pane.",
GET_JOURNAL_2,Defeat enemies to add new entries to the journal and decipher the Hunter's notes.,
GET_DSLASH_2,Release the button while dashing to perform the Dash Slash.,
ENTER,ENTER,
TRADE,TRADE,
EXIT,EXIT,
WATCH,WATCH,
GET_FIREBALL_2,Spells will deplete SOUL.<br>Replenish SOUL by striking enemies.,
RUINS_SHAMAN_1,A figure connected to a device.<br>Examine closely?,
BUTTON_DESC_TAP,Tap,
JINN_OFFER,Give Jinn a Rancid Egg?,
GET_FIREBALL_1,to unleash the Spirit.,
GET_SUPERDASH_1,while on the ground or clinging to a wall to concentrate the force.,
GET_SUPERDASH_2,Release the button to blast forwards and fly through the air.,
GET_DSLASH_1,to concentrate energy into the nail.,
REST,REST,
GET_WALLJUMP_1,while sliding against a wall to jump again.,
GET_CYCLONE_2,Release the button while holding UP or DOWN to perform the Cyclone Slash.,
GET_SHADOWDASH_1,"to dash forwards, cloaked in shadow.",
MAGE_DOOR_NOKEY,An ornate door made from glistening metal. There is a slot for some kind of key.,
TRIAL_BOARD_BRONZE,Trial of the Warrior. Fight for Geo and a Charm Notch.<br>Place a mark and begin the Trial?,
PROMPT_FOCUS_EXPLAINER1B,Once enough SOUL is collected,
GET_ITEM_INTRO6,Consumed,
GET_ITEM_INTRO7,Absorbed the,
GET_ITEM_INTRO4,Marked by,
GET_ITEM_INTRO5,Collected the,
GET_ITEM_INTRO2,Consumed the,
GET_ITEM_INTRO3,Mastered the,
PROMPT_LOOK_DOWN,Look Down,
GET_SHADOWDASH_2,Use the cloak to dash through enemies and their attacks without taking damage.,
MENDER_DIARY,"Dear Dear Diary,<br>Isn't life just the most beautiful thing. Fixing signs, mending posts, let them break, I say! I'm a better mender for all that repairing.<page>I sometimes doubt there's a single bug in Hallownest happier than me.<page>Hello Again Diary,<br>Not long now till the next Menderbash! For a stealthy types, we're a riotous bunch when we get together.<page>And Mender Berri kept flashing me that smile! Might be time to muster my courage and act on it.<page>I love my home and my life, but sharing it with another, why that'd be the Berri on top!<page>My Lovely Diary,<br>Someone's gone and broke my favourite sign! Right there at the top of the crossroads. Keeps happening too!<page>But you know, I just can't get mad about it. I should be thanking them really! More chances to fix that beautiful, complex sign.<page>And I've stocked up on spare parts, so I've no fear it'll ever stay broken for long.",
