ID,EN,TH
DREAM_CITY,Hallownest's heart... Magnificent even in mourning.,
QUIRREL_GREENPATH_1,"Oh, hello there! Seems we both tread far from the path.<page>I can hardly believe those dusty old highways led to such a lush and lively place!<page>This building suggests some form of worship, though its idol has clearly been long forgotten. Doubles equally well for a moment's respite.",
QUIRREL_QUEENSTATION_02,"Can you imagine this place in its time? Hordes of bugs travelling about the Kingdom; stag bells ringing; the station bustling with activity and life.<page>Now only our like even know it exists.<page>That's a special thing I suppose, to cherish these sights, even in their decay.",
QUIRREL_GREENPATH_3,"Your nail looks a fine instrument, but it's showing signs of wear.<page>I'd wager up there it would take you far. Down here however, I suspect you'll soon meet dangers the surface world can't match.",
DREAM_EGGTEMPLE,What is this feeling?... So familiar. Drawn forward yet repelled.<page>And those shapes upon the door...To gaze directly at them turns my mind to fog.,
QUIRREL_TEACHER_2,"Do not hesitate. The choice to reform was hers, not mine.<page>She knows what you would do and seems to welcome it. ",
DREAM_QUEENSTATION,Even those great stags bowed to Hallownest's King. What devotion he must have inspired.,
QUIRREL_TEMPLE_2,Unused,
QUIRREL_TEMPLE_3,Unused,
QUIRREL_TEMPLE_1,For so long I've felt drawn here. So many tales full of wonders and horrors. No longer could I resist. I just had to see it for myself.<page>And what a time I chose to arrive! This dead world has sprung to life.<page>The creatures are riled up and the earth rumbles. The air is thick. I wonder what could have brought it all about?,
QUIRREL_MANTIS_01,"Hello again! I suppose you've already met with the tribe of this village, hmm? They seem a little distrustful of strangers... to put it lightly.<page>They're not brutes though, no. The sickness in the air that clouds the mind of lesser beasts... they resist it. They retain their intellect and their honour, though also their lethal traditions.<page>I've some words of advice, my friend. If you plan to challenge the lords of this tribe, your blunted nail may prove inadequate.<page>There is a city nearby, the old capital of Hallownest. I've heard a Nailsmith resides there. Seek the old bug out and you may find progress that much easier.",
QUIRREL_TEMPLE_5,Did you pass that town above? What a gloomy little place. And such majesty hidden right beneath!<page>I suppose that's why they've all headed down here. Who could resist such possibilities?,
QUIRREL_TEACHER_1A,"Did she call you too then? I realise it's no coincidence we arrive together. <page>Though much of my memory is blank, this place I recall.<page>Within these chambers the Teacher sought to store the Kingdom's knowledge and at its core, she stored herself.",
DREAM_SLUGSHRINE,That lake... a revered presence once slept deep within...<page>Did it? What would make me think such things?,
QUIRREL_GREENPATH_2,"I saw a strange fellow out there. He seemed quite taken by the lake.<page>I'd planned to offer greetings, though figured I'd first tend to my nail on chance our meeting goes poorly. ",
DREAM_SPA,This one too must seek the village at the nest's heart. What mystery the purpose that sees it share my path.,
DREAM_ARCHIVE_ENTRANCE,"...Who are you, that leads me to this place? ",
QUIRREL_MEET_TEMPLE,"Hello there! How delightful to meet another traveller on these forgotten roads.<page>You're a short one, but you've a strong look about you.",
QUIRREL_SPA,"Hello, hello! What a thrill this is, to find such warm comfort amidst the den of beasts.<page>This is a ferocious place no doubt. Supposedly, there's a village deep in the warren. Its inhabitants never accepted Hallownest's King.",
QUIRREL_QUEENSTATION_01,"Isn't this something. I'd not expected to discover so huge a Stag Station after that foggy descent.<page>The bugs of Hallownest must've been an impressive lot, building such grand structures so far into these wilds.<page>Seems the dangerous creatures about haven't yet made their way in here. It's the perfect place for a quick rest.",
QUIRREL_NODREAMNAIL,"Ahh, but her mind is still locked to you. That final, powerful protection stays in place.<page>If you would attempt to break her seal, you've first to discover the means to open a mind. Such tools may exist to perform the feat, though in my own travels I've not come across one.<page>I'd heard it told the Kingdom's moths did delve amongst dreams and the dead. Perhaps you'd seek them out?",
QUIRREL_GREENPATH_REPEAT,"Hallownest is perfect for vigilant explorers like us. So tense and thrilling. In this place, you're either alert or you're dead.",
QUIRREL_TEACHER_1C,"She called me here, now, to reverse that protection. All in aid of you.",
