ID,EN,TH
PRECEPT_29,"Precept Twenty-Nine: 'Develop Your Sense of Direction'.<page>It's easy to get lost when travelling through winding, twisting caverns. Having a good sense of direction is like having a magical map inside of your head. Very useful.",
PRECEPT_39,"Precept Thirty-Nine: 'Eat Quickly and Drink Slowly'.<page>Your body is a delicate thing and you must fuel it with great deliberation. Food must go in as fast as possible, but fluids at a slower rate.",
PRECEPT_19,"Precept Nineteen: 'If You Try, Succeed'.<page>If you're going to attempt something, make sure you achieve it. If you do not succeed, then you have actually failed! Avoid this at all costs.",
PRECEPT_9,"Precept Nine: 'Keep Your Home Tidy'.<page>Your home is where you keep your most prized possession - yourself. Therefore, you should make an effort to keep it nice and clean.",
PRECEPT_57,"Precept Fifty-Seven: 'Obey All Precepts'.<page>Most importantly, you must commit all of these precepts to memory and obey them all unfailingly. Including this one!<page>Hmm. Have you truly listened to everything I've said? Let's start again and repeat the 'Fifty-Seven Precepts of Zote'.",
PRECEPT_7,"Precept Seven: 'Mourn Not the Dead'.<page>When we die, do things get better for us or worse? There's no way to tell, so we shouldn't bother mourning. Or celebrating for that matter.",
PRECEPT_4,"Precept Four: 'Forget Your Past'.<page>The past is painful, and thinking about your past can only bring you misery. Think about something else instead, such as the future, or some food.",
PRECEPT_5,"Precept Five: 'Strength Beats Strength'.<page>Is your opponent strong? No matter! Simply overcome their strength with even more strength, and they'll soon be defeated.",
PRECEPT_2,"Precept Two: 'Never Let Them Laugh at You'.<page>Fools laugh at everything, even at their superiors. But beware, laughter isn't harmless! Laughter spreads like a disease, and soon everyone is laughing at you.<page>You need to strike at the source of this perverse merriment quickly to stop it from spreading.",
PRECEPT_3,"Precept Three: 'Always Be Rested'.<page>Fighting and adventuring take their toll on your body. When you rest, your body strengthens and repairs itself. The longer you rest, the stronger you become.",
PRECEPT_43,"Precept Forty-Three: 'Never Forgive'.<page>If someone asks forgiveness of you, for instance a brother of yours, always deny it. That brother, or whoever it is, doesn't deserve such a thing.",
PRECEPT_53,"Precept Fifty-Three: 'Do Not Steal the Desires of Others'.<page>Every creature keeps their desires locked up inside of themselves. If you catch a glimpse of another's desires, resist the urge to claim them as your own. It will not lead you to happiness.",
PRECEPT_23,"Precept Twenty-Three: 'Identify the Foe's Weak Point'.<page>Every foe you encounter has a weak point, such as a crack in their shell or being asleep. You must constantly be alert and scrutinising your enemy to detect their weakness!",
PRECEPT_33,"Precept Thirty-Three: 'Show the Enemy No Respect'.<page>Being gallant to your enemies is no virtue! If someone opposes you, they don't deserve respect or kindness or mercy.",
PRECEPT_13,"Precept Thirteen: 'Never Be Afraid'.<page>Fear can only hold you back. Facing your fears can be a tremendous effort. Therefore, you should just not be afraid in the first place.",
PRECEPT_37,"Precept Thirty-Seven: 'Borrow, But Do Not Lend'.<page>If you lend and are repayed, you gain nothing. If you borrow but do not repay, you gain everything.",
PRECEPT_17,"Precept Seventeen: 'Believe In Your Strength'.<page>Others may doubt you, but there's someone you can always trust. Yourself. Make sure to believe in your own strength, and you will never falter.",
PRECEPT_34,Precept Thirty-Four: 'Don't Eat Immediately Before Sleeping'.<page>This can cause restlessness and indigestion. It's just common sense.,
ZOTE_COLOSSEUM_REPEAT,"Leave me be, you lowly worm! I must rest before my great battle. Pray we do not meet in the arena...",
ZOTE_COLOSSEUM_MEET,"Hmm? What do you want, cur? Have you come to laugh at me as well?<page>Fools! Did you never consider that being trapped in this cage was precisely what I intended?!<page>Yes, by all means, release me into your arena!<page>I am Zote the Mighty! And as soon as I draw my nail, 'Life Ender', your laughter will turn into terror!",
ZOTE_DREAM_COLOSSEUM,"How miserable, to be stuck here instead of continuing my quest...<page>I came to this kingdom to fulfill a promise... and that is what I will do...",
ZOTE_TOWN_REPEAT,Hmph. What a squalid little hamlet this is.The air is foul and the townsfolk have beady eyes. I'll be heading back down below as soon as possible.,
PRECEPT_8,"Precept Eight: 'Travel Alone'.<page>You can rely on nobody, and nobody will always be loyal. Therefore, nobody should be your constant companion.",
ZOTE_DREAM_BUZZER,Foolish beast... you dulled your mandibles by gnawing on my indestructible body. No wonder you were defeated by this weakling!,
ZOTE_CITY_GREET,"Hoy! Watch where you're going, you soggy vagabond! I don't want you splashing me. I've had a miserable time trying to keep dry.<page>I am Zote the Mighty, a knight of great renown. If I decide that I'm going to stay dry, then that's what's going to happen!<page>Curse this wretched city! Water and monsters constantly fall from above! It's no wonder this blasted kingdom fell to ruin...",
ZOTE_BUZZER_1_B,"Know this, cur. I am Zote the Mighty, a knight of great renown. Cross me again, and you'll find out why they call my weapon 'Life Ender'.",
PRECEPT_56,"Precept Fifty-Six: 'Do Not Dream'.<page>Dreams are dangerous things. Strange ideas, not your own, can worm their way into your mind. But if you resist those ideas, sickness will wrack your body! Best not to dream at all, like me.",
PRECEPT_26,"Precept Twenty-Six: 'Don't Trust Your Reflection'.<page>When peering at certain shining surfaces, you may see a copy of your own face. The face will mimic your movements and seems similar to your own, but I don't think it can be trusted.",
PRECEPT_36,"Precept Thirty-Six: 'Eggshells are brittle'.<page>Once again, this precept explains itself.",
PRECEPT_16,"Precept Sixteen: 'Don't Hesitate'.<page>Once you've made a decision, carry it out and don't look back. You'll achieve much more this way.",
PRECEPT_46,"Precept Forty-Six: 'The World is Smaller Than You Think'.<page>When young, you tend to think that the world is vast, huge, gigantic. It's only natural. Unfortunately, it's actually quite a lot smaller than that. I can say this, now having travelled everywhere in the land.",
